"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2010","Mariners","2104","5989","101","513","485","142","7.7 %","19.8 %",".104",".282",".236",".298",".339",".285","79","-1.0","-148.8","-12.3","4.5"
"2013","White Sox","2279","6077","148","598","574","105","6.8 %","19.9 %",".129",".291",".249",".302",".378",".299","85","-13.8","-118.6","-43.1","4.1"
"2010","Pirates","2327","5974","126","587","570","87","7.8 %","20.2 %",".131",".288",".242",".304",".373",".300","84","-5.8","-119.0","-30.8","3.7"
"2011","Twins","2269","6020","103","619","572","92","7.3 %","17.4 %",".113",".288",".247",".306",".360",".296","82","-6.5","-133.4","-29.4","3.3"
"2007","White Sox","2257","6103","190","693","667","78","8.7 %","18.8 %",".158",".278",".246",".318",".404",".316","86","-15.7","-125.7","-55.7","2.9"
"2005","Royals","2259","6086","126","701","653","53","7.0 %","16.6 %",".134",".298",".263",".320",".396",".313","87","6.3","-91.5","-87.3","2.7"
"2009","Royals","2247","6103","144","686","657","88","7.5 %","17.9 %",".146",".298",".259",".318",".405",".318","88","-18.9","-110.3","-78.6","2.0"
"2013","Astros","2266","6020","148","610","566","110","7.1 %","25.5 %",".136",".304",".240",".299",".375",".298","85","-9.1","-112.9","-76.2","1.0"
"2004","Royals","2169","6153","150","720","675","67","7.5 %","17.2 %",".139",".293",".259",".322",".397",".314","82","-9.3","-152.8","-47.4","1.0"
"2013","Marlins","2244","6021","95","513","485","78","7.2 %","20.5 %",".104",".280",".231",".293",".335",".279","74","-4.6","-178.3","-1.5","-0.1"
"2004","Diamondbacks","2295","6114","135","615","582","53","7.2 %","16.7 %",".140",".286",".253",".310",".393",".305","74","-7.7","-212.2","2.3","-0.4"
"2002","Tigers","2096","5920","124","575","546","65","6.1 %","17.5 %",".132",".283",".248",".300",".379",".297","82","-9.4","-143.5","-68.1","-1.0"
"2003","Tigers","2278","6071","153","591","553","98","7.3 %","18.1 %",".135",".272",".240",".300",".375",".296","80","-6.5","-162.3","-59.2","-1.2"
